2014-08-14 15:22:00
studyName	sampleName	splitTotal	otuTableTotal	percentAssigned
Claesson_elderly_gut_study_486.txt	EM059.441715	18120	17002	0.938300220751
Claesson_elderly_gut_study_486.txt	EM082.T3.441751	18329	17598	0.960117846036
Claesson_elderly_gut_study_486.txt	EM179.441612	18547	18101	0.97595298431
Claesson_elderly_gut_study_486.txt	EM091.441686	18550	16902	0.91115902965
Claesson_elderly_gut_study_486.txt	EM058.441637	18598	17315	0.931014087536
Claesson_elderly_gut_study_486.txt	EM144.441736	18601	16596	0.892210096231
Claesson_elderly_gut_study_486.txt	EM077.T3.441639	18613	17808	0.956750658142
Claesson_elderly_gut_study_486.txt	EM160.441703	18689	18000	0.963133393975
Claesson_elderly_gut_study_486.txt	EM038.441649	18787	17965	0.956246340555
Claesson_elderly_gut_study_486.txt	EM131.441591	18825	17652	0.937689243028
Claesson_elderly_gut_study_486.txt	EM046.441741	18861	17823	0.944965802449
Claesson_elderly_gut_study_486.txt	EM055.441603	18920	16908	0.893657505285
Claesson_elderly_gut_study_486.txt	EM088.441638	18946	18153	0.958144199303
Claesson_elderly_gut_study_486.txt	EM092.441616	18971	17656	0.930683675083
Claesson_elderly_gut_study_486.txt	EM034.441676	19020	17711	0.931177707676
Claesson_elderly_gut_study_486.txt	EM114.441710	19031	18518	0.973043980873
Claesson_elderly_gut_study_486.txt	EM084.441599	19128	18257	0.954464659138
Claesson_elderly_gut_study_486.txt	EM089.T3.441624	19225	18093	0.941118335501
Claesson_elderly_gut_study_486.txt	EM063.T3.441695	19383	18535	0.956250322448
Claesson_elderly_gut_study_486.txt	EM100.441714	19416	17604	0.906674907293
Claesson_elderly_gut_study_486.txt	EM054.441707	19471	18922	0.971804221663
Claesson_elderly_gut_study_486.txt	EM052.441625	19606	18707	0.954146689789
Claesson_elderly_gut_study_486.txt	EM063.441621	20307	17633	0.868321268528
Claesson_elderly_gut_study_486.txt	EM049.T3.441671	21321	20175	0.946250175883
Claesson_elderly_gut_study_486.txt	EM145.441690	21708	20604	0.949143173024
Claesson_elderly_gut_study_486.txt	EM042.441674	22000	20427	0.9285
Claesson_elderly_gut_study_486.txt	EM053.441738	22663	22107	0.9754666196
Claesson_elderly_gut_study_486.txt	EM095.T3.441590	22768	21579	0.947777582572
Claesson_elderly_gut_study_486.txt	EM148.441631	23008	22175	0.963795201669
Claesson_elderly_gut_study_486.txt	EM071.441747	23048	19974	0.866626171468
Claesson_elderly_gut_study_486.txt	EM174.441652	24000	22973	0.957208333333
Claesson_elderly_gut_study_486.txt	EM093.441602	24107	22987	0.953540465425
Claesson_elderly_gut_study_486.txt	EM068.441712	24366	22394	0.919067553148
Claesson_elderly_gut_study_486.txt	EM072.441643	24451	23173	0.947732199092
Claesson_elderly_gut_study_486.txt	EM032.441683	24891	23382	0.939375677956
Claesson_elderly_gut_study_486.txt	EM081.441618	25099	23934	0.95358380812
Claesson_elderly_gut_study_486.txt	EM033.441685	25425	24801	0.975457227139
Claesson_elderly_gut_study_486.txt	EM061.441673	25734	25074	0.974352996036
Claesson_elderly_gut_study_486.txt	EM070.441682	26405	25132	0.951789433819
Claesson_elderly_gut_study_486.txt	EM116.441657	26671	26013	0.975329009036
Claesson_elderly_gut_study_486.txt	EM182.441681	27330	26699	0.976911818514
Claesson_elderly_gut_study_486.txt	EM062.441720	29294	27812	0.949409435379
Claesson_elderly_gut_study_486.txt	EM044.441601	43364	38719	0.892883497832
Costello_body.txt	M12Urin.140746	413	394	0.953995157385
Costello_body.txt	M22Knel.140707	439	396	0.902050113895
Costello_body.txt	M22Aptl.140790	495	439	0.886868686869
Costello_body.txt	F11Aptr.140618	511	489	0.956947162427
Costello_body.txt	M41Glns.140561	513	472	0.92007797271
Costello_body.txt	M31Forr.140497	518	497	0.959459459459
Costello_body.txt	M32Urin.140565	528	426	0.806818181818
Costello_body.txt	M22Kner.140718	540	475	0.87962962963
Costello_body.txt	F12Ewxr.140726	543	521	0.959484346225
Costello_body.txt	M32Knel.140332	562	479	0.85231316726
Costello_body.txt	M31Forl.140292	570	533	0.935087719298
Costello_body.txt	M42Navl.140564	571	541	0.947460595447
Costello_body.txt	M11Forr.140759	574	537	0.935540069686
Costello_body.txt	F12Forl.140305	574	518	0.90243902439
Costello_body.txt	F11Fcsp.140567	575	510	0.886956521739
Costello_body.txt	M31Fcsp.140824	584	525	0.89897260274
Costello_body.txt	M12Kner.140631	591	539	0.912013536379
Costello_body.txt	M31Navl.140871	595	577	0.96974789916
Costello_body.txt	M42Fcsp.140374	604	500	0.827814569536
Costello_body.txt	M32Kner.140429	605	525	0.867768595041
Costello_body.txt	M11Nstr.140514	606	583	0.96204620462
Costello_body.txt	F11Knel.140331	609	544	0.893267651888
Costello_body.txt	M11Indr.140633	615	581	0.944715447154
Costello_body.txt	F11Kner.140478	628	568	0.904458598726
Costello_body.txt	F32Knel.140324	633	554	0.875197472354
Costello_body.txt	M31Fotl.140712	634	561	0.884858044164
